%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
3364542000000,327801,3364542000000,world,-2.48335735091,0.234862779173,1.91441731352,-9.22316885986e-05,-0.00170761650574,0.376581454255,-0.926381931954
3364552000000,327802,3364552000000,world,-2.4822910042,0.233811054371,1.91441734977,-0.000139472242545,-0.00182494836286,0.376227009373,-0.92652570797
3364562000000,327803,3364562000000,world,-2.48122203996,0.232758318,1.91441739471,-0.000178106669767,-0.00192139359512,0.375872407366,-0.926669417811
3364572000000,327804,3364572000000,world,-2.48015026241,0.231704381202,1.91441744706,-0.000209013263611,-0.0019990793828,0.375517648084,-0.9268130642
3364582000000,327805,3364582000000,world,-2.47907460795,0.230648215646,1.91441749291,-0.00024864775762,-0.00209861438481,0.375162725294,-0.926956559684
3364591000000,327806,3364592000000,world,-2.47799268574,0.229587514644,1.91441749799,-0.000335614482359,-0.00231547293923,0.3748076553,-0.92709964269
3364602000000,327807,3364602000000,world,-2.4769072741,0.228524974412,1.91441750393,-0.000416112710575,-0.00251678697684,0.374452491642,-0.927242591848
3364612000000,327808,3364612000000,world,-2.47581865235,0.22746086702,1.91441752066,-0.000480034099715,-0.00267749267993,0.374097213547,-0.927385505287
3364622000000,327809,3364622000000,world,-2.47472635583,0.226394746261,1.91441754452,-0.000531203098033,-0.00280699177981,0.373741816588,-0.927528378625
3364632000000,327810,3364632000000,world,-2.47363006476,0.225326307197,1.91441757269,-0.000571751554535,-0.00291051584611,0.373386292583,-0.927671212504
3364642000000,327811,3364642000000,world,-2.47252956057,0.224255343342,1.9144176034,-0.000602740424298,-0.00299064849314,0.37303064041,-0.927814008323
3364652000000,327812,3364652000000,world,-2.47142466381,0.223181686577,1.91441763517,-0.000625164758467,-0.00304981287592,0.372674857933,-0.927956765197
